taxonomy	B3	X18	X42	X22	X9	B1	X10	B8	X20	B7	C	X39	B11	X4	B10	X29	X2	B9	X19	B5	X33	X16	X40	D	X1	X17	B6	X3	X27	X12	X15	B4	X7	B2	X26	X13	X34	X32	X36	X35	X6	X5	X37	X21	X25	X23	B	X8	X11	X28	X24
D_0__Bacteria; D_1__Acidobacteria	0	0	0	0	0	56	0	0	0	0	0	0	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	35	0	7	11	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
D_0__Bacteria; D_1__Actinobacteria	1248	629	537	1361	397	303	1899	278	948	163	578	603	146	12	24	34	73	584	868	402	984	478	193	23	80	2015	564	18	999	1312	9	92	640	332	374	957	491	442	419	666	568	272	111	90	19	387	799	0	34	639	407
D_0__Bacteria; D_1__Armatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria; D_1__Bacteroidetes	166	54	42	57	565	285	352	101	530	6	20	305	123	0	0	15	0	41	92	341	567	52	61	2	17	75	209	4	192	814	2	24	99	482	126	16	151	18	8	67	3	0	6	3	2	120	530	0	15	99	537
D_0__Bacteria; D_1__Chlamydiae	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria; D_1__Chloroflexi	47	0	0	0	11	0	23	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
D_0__Bacteria; D_1__Cyanobacteria	0	0	0	40	0	0	0	0	0	0	0	24	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
D_0__Bacteria; D_1__Deinococcus-Thermus	62	10	19	0	4	0	197	0	0	1	0	11	8	0	0	2	0	0	0	0	94	12	4	0	0	6	0	0	0	0	0	0	11	0	9	0	2	6	0	0	0	0	0	0	2	9	0	0	2	22	4
D_0__Bacteria; D_1__Dependentiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
D_0__Bacteria; D_1__Epsilonbacteraeota	15446	1	46	7880	14982	10993	36	6116	0	10781	0	0	7241	1	2302	73	0	8447	4	11908	75	0	7270	0	3292	19	5060	144	6254	6521	1	14644	9325	4423	41	0	0	733	43	0	0	100	1	4	0	63	2	0	73	8958	15503
D_0__Bacteria; D_1__FBP	3	0	0	0	8	0	16	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	8
D_0__Bacteria; D_1__Firmicutes	12424	5017	6941	1169	701	249	1507	284	1417	260	10121	2473	720	6446	6229	984	9237	406	1730	1234	3927	9313	4064	13424	9671	6052	929	5970	1049	1617	14590	325	1235	506	1201	11670	4154	6069	8754	6484	6469	8711	10497	76	76	1204	1231	0	1176	1322	697
D_0__Bacteria; D_1__Fusobacteria	49	29	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	4	0	0	0	0	0	0	0	0	0
D_0__Bacteria; D_1__Gemmatimonadetes	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
D_0__Bacteria; D_1__Patescibacteria	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
