"","Treatment_name","Probable_LPS.producer","mean","sd","n","se","factor","scaled_mean","scaled_se"
"1","Recovery","No",0.00948584403076923,0.0504945937915401,325,0.00280093610844805,0.0141238442069597,67.161913511443,19.8312588797026
"2","Recovery","Unknown",7.8125e-05,0.000286260948409838,25,5.72521896819676e-05,0.0141238442069597,0.55314260661062,0.40535840556607
"3","Recovery","Yes",0.00455987517619048,0.0314590937916136,420,0.00153504659630652,0.0141238442069597,32.2849438819464,10.8684758470368
"4","Reference","No",0.0145870648036199,0.0888327955982665,1105,0.00267234294372407,0.0152282283975975,95.7896376568745,17.5486134956163
"5","Reference","Unknown",2.55310470588235e-05,0.00023538462340006,85,2.55310470588235e-05,0.0152282283975975,0.16765605553205,0.16765605553205
"6","Reference","Yes",0.000615632546918768,0.00733762710038147,1428,0.000194174203934421,0.0152282283975975,4.04270628759346,1.27509385113409
"7","Stressed","No",0.00413595086871795,0.0196272070056519,975,0.000628573684433062,0.012932798310464,31.9803245162459,4.86030686742003
"8","Stressed","Unknown",9.83796266666667e-05,0.000430040604621262,75,4.9656811768111e-05,0.012932798310464,0.760698684886065,0.383960304460432
"9","Stressed","Yes",0.00869846781507936,0.0635078927179655,1260,0.00178913219131436,0.012932798310464,67.258976798868,13.8340686088545
"10","Wild","No",0.00283544582377622,0.022264649264617,715,0.000832650672541907,0.0125498236151182,22.5935113570878,6.63475996219461
"11","Wild","Unknown",3.94570909090909e-06,2.92621617905196e-05,55,3.94570909090909e-06,0.0125498236151182,0.0314403549557132,0.0314403549557132
"12","Wild","Yes",0.00971043208225108,0.0789797416068337,924,0.00259824274288504,0.0125498236151182,77.3750482879565,20.7034204030968
